// APLS custom dictionary

// Word-initial secondary-stress: Use """ at the start of the word & " at the end
// DO NOT EDIT IN EXCEL--IT WILL ADD EXTRA CHARACTERS
// N.B. Rows with just one entry are ignored by LaBB-CAT; these can be used for comments


// Pittsburgh/SWPA geographic names
babushkas,b@-'buS-k@z
Pittsburghy,'pIts-b3r-gi
Limbaugh,'lIm-b$
microbrew,'m2-kr5-bru
microbrews,'m2-kr5-bruz
coanchor,'k5-"{N-k@r
coanchors,'k5-"{N-k@rz
scaredy,'sk8r-di
rollerskate,'r5-l@r-"sk1t
rollerskates,'r5-l@r-"sk1ts
rollerskated,'r5-l@r-"sk1-t@d
rollerskating,'r5-l@r-"sk1-tIN
craneman,'kr1n-mH
grandpap,'gr{nd-"p{p
grandpaps,'gr{nd-"p{ps
reeducation,ri-"E-_@-'k1-SH
hoodie,'hU-di
hoodies,'hU-dis
wouldn't've,'wU-dH-t@v
Mawr,'m#r
bro,'br5
mics,'m2ks
mic,'m2k
nickelodeons,"""nI-kP-'5-di@nz"
co-ed,'k5-"Ed
co-ed,"""k5-'Ed"
heart-shaped,'h#rt-"S1pt
underwears,'Vn-d@r-"w8rz
treaters,'tri-t@rz
co-own,'k5-"5n
co-owns,'k5-"5nz
sociolinguists,"""s5-si-5-'liN-gwIsts"
locally-owned,"""l5-k@-li-'5nd"
Ec,'Ek
Shaka,'SQ-k@
in-migration,'In-m2-"gr1-SH
out-migration,'6t-m2-"gr1-SH
reality-based,ri-'{-l@-ti-"b1st
mid-fifties,"""mId-'fIf-tiz"
Wigilia,vI-'gi-li-j@


// Allowable colloquial spellings
'til,'tIl
'nother,'nV-D@r
I'mma,'2-m@
tryna,'tr2-n@


// Allowable interjections
mmm,'F
nah,'nQ
nah,'n$
aw,'$
oo,'u
ahh,'Q
ahh,'$
jeez,'_iz
woohoo,wu-'hu


// Tilde codes
p~,p
b~,b
t~,t
d~,d
k~,k
g~,g
f~,f
v~,v
th~,T
dh~,D
s~,s
z~,z
sh~,S
zh~,Z
h~,h
ch~,J
j~,_
m~,m
n~,n
ng~,N
l~,l
r~,r
w~,w
y~,j
wh~,w
ph~,f
kn~,n
ps~,s
pn~,n
pt~,t
wr~,r
a~,@
e~,E
i~,I
o~,5
u~,@
ou~,6
oi~,4
